iso2c,call_year,funding_scheme,research_domain,research_panel,projects,n
AT,2008,AdG,PE,PE10,evaluated,2
AT,2008,AdG,PE,PE10,granted,0
AT,2008,AdG,PE,PE2,evaluated,4
AT,2008,AdG,PE,PE2,granted,2
AT,2008,AdG,PE,PE3,evaluated,1
AT,2008,AdG,PE,PE3,granted,1
AT,2008,AdG,PE,PE4,evaluated,2
AT,2008,AdG,PE,PE4,granted,1
AT,2008,AdG,PE,PE6,evaluated,1
AT,2008,AdG,PE,PE6,granted,0
AT,2008,AdG,SH,SH1,evaluated,1
AT,2008,AdG,SH,SH1,granted,0
AT,2008,AdG,SH,SH2,evaluated,4
AT,2008,AdG,SH,SH2,granted,0
AT,2008,AdG,SH,SH3,evaluated,1
AT,2008,AdG,SH,SH3,granted,1
AT,2008,AdG,SH,SH4,evaluated,2
AT,2008,AdG,SH,SH4,granted,1
AT,2008,AdG,SH,SH6,evaluated,3
AT,2008,AdG,SH,SH6,granted,0
AT,2009,StG,LS,LS1,evaluated,3
AT,2009,StG,LS,LS1,granted,0
AT,2009,StG,LS,LS2,evaluated,2
AT,2009,StG,LS,LS2,granted,1
AT,2009,StG,LS,LS3,evaluated,2
AT,2009,StG,LS,LS3,granted,0
AT,2009,StG,LS,LS4,evaluated,2
AT,2009,StG,LS,LS4,granted,0
AT,2009,StG,LS,LS5,evaluated,3
AT,2009,StG,LS,LS5,granted,1
AT,2009,StG,LS,LS6,evaluated,1
AT,2009,StG,LS,LS6,granted,0
AT,2009,StG,LS,LS7,evaluated,2
AT,2009,StG,LS,LS7,granted,0
AT,2009,StG,LS,LS8,evaluated,1
AT,2009,StG,LS,LS8,granted,1
AT,2009,StG,LS,LS9,evaluated,1
AT,2009,StG,LS,LS9,granted,0
AT,2009,StG,PE,PE1,evaluated,1
AT,2009,StG,PE,PE1,granted,0
AT,2009,StG,PE,PE2,evaluated,8
AT,2009,StG,PE,PE2,granted,2
AT,2009,StG,PE,PE3,evaluated,5
AT,2009,StG,PE,PE3,granted,0
AT,2009,StG,PE,PE5,evaluated,3
AT,2009,StG,PE,PE5,granted,0
AT,2009,StG,PE,PE6,evaluated,3
AT,2009,StG,PE,PE6,granted,1
AT,2009,StG,PE,PE7,evaluated,3
AT,2009,StG,PE,PE7,granted,0
AT,2009,StG,PE,PE9,evaluated,1
AT,2009,StG,PE,PE9,granted,0
AT,2009,StG,SH,SH1,evaluated,1
AT,2009,StG,SH,SH1,granted,0
AT,2009,StG,SH,SH2,evaluated,5
AT,2009,StG,SH,SH2,granted,0
AT,2009,StG,SH,SH3,evaluated,1
AT,2009,StG,SH,SH3,granted,1
AT,2009,StG,SH,SH4,evaluated,2
AT,2009,StG,SH,SH4,granted,0
AT,2009,StG,SH,SH5,evaluated,1
AT,2009,StG,SH,SH5,granted,0
AT,2009,StG,SH,SH6,evaluated,1
AT,2009,StG,SH,SH6,granted,0
AT,2009,AdG,LS,LS1,evaluated,1
AT,2009,AdG,LS,LS1,granted,0
AT,2009,AdG,LS,LS2,evaluated,3
AT,2009,AdG,LS,LS2,granted,1
AT,2009,AdG,LS,LS3,evaluated,2
AT,2009,AdG,LS,LS3,granted,1
AT,2009,AdG,LS,LS5,evaluated,1
AT,2009,AdG,LS,LS5,granted,0
AT,2009,AdG,LS,LS6,evaluated,1
AT,2009,AdG,LS,LS6,granted,0
AT,2009,AdG,LS,LS7,evaluated,2
AT,2009,AdG,LS,LS7,granted,0
AT,2009,AdG,LS,LS8,evaluated,1
AT,2009,AdG,LS,LS8,granted,1
AT,2009,AdG,PE,PE1,evaluated,3
AT,2009,AdG,PE,PE1,granted,1
AT,2009,AdG,PE,PE10,evaluated,2
AT,2009,AdG,PE,PE10,granted,0
AT,2009,AdG,PE,PE2,evaluated,2
AT,2009,AdG,PE,PE2,granted,1
AT,2009,AdG,PE,PE3,evaluated,1
AT,2009,AdG,PE,PE3,granted,0
AT,2009,AdG,PE,PE4,evaluated,2
AT,2009,AdG,PE,PE4,granted,0
AT,2009,AdG,PE,PE5,evaluated,2
AT,2009,AdG,PE,PE5,granted,0
AT,2009,AdG,PE,PE6,evaluated,3
AT,2009,AdG,PE,PE6,granted,0
AT,2009,AdG,PE,PE7,evaluated,1
AT,2009,AdG,PE,PE7,granted,1
AT,2009,AdG,PE,PE8,evaluated,2
AT,2009,AdG,PE,PE8,granted,0
AT,2009,AdG,SH,SH1,evaluated,1
AT,2009,AdG,SH,SH1,granted,0
AT,2009,AdG,SH,SH2,evaluated,3
AT,2009,AdG,SH,SH2,granted,0
AT,2009,AdG,SH,SH4,evaluated,3
AT,2009,AdG,SH,SH4,granted,1
AT,2009,AdG,SH,SH6,evaluated,1
AT,2009,AdG,SH,SH6,granted,0
AT,2010,StG,LS,LS1,evaluated,2
AT,2010,StG,LS,LS1,granted,0
AT,2010,StG,LS,LS2,evaluated,5
AT,2010,StG,LS,LS2,granted,1
AT,2010,StG,LS,LS3,evaluated,4
AT,2010,StG,LS,LS3,granted,2
AT,2010,StG,LS,LS4,evaluated,3
AT,2010,StG,LS,LS4,granted,0
AT,2010,StG,LS,LS6,evaluated,1
AT,2010,StG,LS,LS6,granted,0
AT,2010,StG,LS,LS8,evaluated,5
AT,2010,StG,LS,LS8,granted,1
AT,2010,StG,PE,PE1,evaluated,3
AT,2010,StG,PE,PE1,granted,1
AT,2010,StG,PE,PE2,evaluated,11
AT,2010,StG,PE,PE2,granted,3
AT,2010,StG,PE,PE3,evaluated,2
AT,2010,StG,PE,PE3,granted,1
AT,2010,StG,PE,PE4,evaluated,3
AT,2010,StG,PE,PE4,granted,0
AT,2010,StG,PE,PE6,evaluated,3
AT,2010,StG,PE,PE6,granted,1
AT,2010,StG,PE,PE8,evaluated,3
AT,2010,StG,PE,PE8,granted,1
AT,2010,StG,PE,PE9,evaluated,1
AT,2010,StG,PE,PE9,granted,0
AT,2010,StG,SH,SH2,evaluated,2
AT,2010,StG,SH,SH2,granted,0
AT,2010,StG,SH,SH3,evaluated,5
AT,2010,StG,SH,SH3,granted,2
AT,2010,StG,SH,SH4,evaluated,4
AT,2010,StG,SH,SH4,granted,0
AT,2010,StG,SH,SH5,evaluated,2
AT,2010,StG,SH,SH5,granted,0
AT,2010,StG,SH,SH6,evaluated,5
AT,2010,StG,SH,SH6,granted,2
AT,2010,AdG,LS,LS2,evaluated,1
AT,2010,AdG,LS,LS2,granted,1
AT,2010,AdG,LS,LS4,evaluated,2
AT,2010,AdG,LS,LS4,granted,0
AT,2010,AdG,LS,LS5,evaluated,2
AT,2010,AdG,LS,LS5,granted,1
AT,2010,AdG,LS,LS7,evaluated,1
AT,2010,AdG,LS,LS7,granted,0
AT,2010,AdG,LS,LS8,evaluated,2
AT,2010,AdG,LS,LS8,granted,1
AT,2010,AdG,PE,PE1,evaluated,2
AT,2010,AdG,PE,PE1,granted,1
AT,2010,AdG,PE,PE3,evaluated,1
AT,2010,AdG,PE,PE3,granted,0
AT,2010,AdG,PE,PE4,evaluated,1
AT,2010,AdG,PE,PE4,granted,0
AT,2010,AdG,PE,PE6,evaluated,2
AT,2010,AdG,PE,PE6,granted,1
AT,2010,AdG,PE,PE8,evaluated,1
AT,2010,AdG,PE,PE8,granted,0
AT,2010,AdG,PE,PE9,evaluated,2
AT,2010,AdG,PE,PE9,granted,0
AT,2010,AdG,SH,SH1,evaluated,1
AT,2010,AdG,SH,SH1,granted,0
AT,2010,AdG,SH,SH2,evaluated,3
AT,2010,AdG,SH,SH2,granted,0
AT,2010,AdG,SH,SH3,evaluated,1
AT,2010,AdG,SH,SH3,granted,0
AT,2010,AdG,SH,SH5,evaluated,1
AT,2010,AdG,SH,SH5,granted,0
AT,2010,AdG,SH,SH6,evaluated,1
AT,2010,AdG,SH,SH6,granted,1
AT,2011,StG,LS,LS1,evaluated,6
AT,2011,StG,LS,LS1,granted,1
AT,2011,StG,LS,LS2,evaluated,3
AT,2011,StG,LS,LS2,granted,0
AT,2011,StG,LS,LS3,evaluated,3
AT,2011,StG,LS,LS3,granted,3
AT,2011,StG,LS,LS4,evaluated,4
AT,2011,StG,LS,LS4,granted,0
AT,2011,StG,LS,LS5,evaluated,5
AT,2011,StG,LS,LS5,granted,2
AT,2011,StG,LS,LS6,evaluated,2
AT,2011,StG,LS,LS6,granted,0
AT,2011,StG,LS,LS8,evaluated,4
AT,2011,StG,LS,LS8,granted,1
AT,2011,StG,LS,LS9,evaluated,2
AT,2011,StG,LS,LS9,granted,0
AT,2011,StG,PE,PE1,evaluated,6
AT,2011,StG,PE,PE1,granted,0
AT,2011,StG,PE,PE10,evaluated,1
AT,2011,StG,PE,PE10,granted,0
AT,2011,StG,PE,PE2,evaluated,15
AT,2011,StG,PE,PE2,granted,2
AT,2011,StG,PE,PE3,evaluated,4
AT,2011,StG,PE,PE3,granted,1
AT,2011,StG,PE,PE4,evaluated,2
AT,2011,StG,PE,PE4,granted,2
AT,2011,StG,PE,PE5,evaluated,1
AT,2011,StG,PE,PE5,granted,1
AT,2011,StG,PE,PE6,evaluated,13
AT,2011,StG,PE,PE6,granted,1
AT,2011,StG,PE,PE7,evaluated,1
AT,2011,StG,PE,PE7,granted,0
AT,2011,StG,PE,PE8,evaluated,3
AT,2011,StG,PE,PE8,granted,0
AT,2011,StG,PE,PE9,evaluated,1
AT,2011,StG,PE,PE9,granted,0
AT,2011,StG,SH,SH2,evaluated,2
AT,2011,StG,SH,SH2,granted,0
AT,2011,StG,SH,SH3,evaluated,2
AT,2011,StG,SH,SH3,granted,1
AT,2011,StG,SH,SH4,evaluated,4
AT,2011,StG,SH,SH4,granted,1
AT,2011,StG,SH,SH6,evaluated,5
AT,2011,StG,SH,SH6,granted,0
AT,2011,AdG,LS,LS2,evaluated,1
AT,2011,AdG,LS,LS2,granted,0
AT,2011,AdG,LS,LS4,evaluated,1
AT,2011,AdG,LS,LS4,granted,0
AT,2011,AdG,LS,LS6,evaluated,1
AT,2011,AdG,LS,LS6,granted,1
AT,2011,AdG,LS,LS7,evaluated,1
AT,2011,AdG,LS,LS7,granted,0
AT,2011,AdG,LS,LS8,evaluated,2
AT,2011,AdG,LS,LS8,granted,2
AT,2011,AdG,LS,LS9,evaluated,1
AT,2011,AdG,LS,LS9,granted,0
AT,2011,AdG,PE,PE1,evaluated,3
AT,2011,AdG,PE,PE1,granted,0
AT,2011,AdG,PE,PE10,evaluated,1
AT,2011,AdG,PE,PE10,granted,1
AT,2011,AdG,PE,PE2,evaluated,1
AT,2011,AdG,PE,PE2,granted,1
AT,2011,AdG,PE,PE4,evaluated,4
AT,2011,AdG,PE,PE4,granted,1
AT,2011,AdG,PE,PE5,evaluated,2
AT,2011,AdG,PE,PE5,granted,0
AT,2011,AdG,PE,PE6,evaluated,1
AT,2011,AdG,PE,PE6,granted,0
AT,2011,AdG,PE,PE7,evaluated,1
AT,2011,AdG,PE,PE7,granted,0
AT,2011,AdG,PE,PE8,evaluated,1
AT,2011,AdG,PE,PE8,granted,1
AT,2011,AdG,PE,PE9,evaluated,1
AT,2011,AdG,PE,PE9,granted,0
AT,2011,AdG,SH,SH2,evaluated,2
AT,2011,AdG,SH,SH2,granted,0
AT,2011,AdG,SH,SH5,evaluated,3
AT,2011,AdG,SH,SH5,granted,0
AT,2011,PoC,NA,NA,evaluated,3
AT,2011,PoC,NA,NA,granted,2
AT,2012,StG,LS,LS1,evaluated,3
AT,2012,StG,LS,LS1,granted,0
AT,2012,StG,LS,LS2,evaluated,4
AT,2012,StG,LS,LS2,granted,0
AT,2012,StG,LS,LS3,evaluated,2
AT,2012,StG,LS,LS3,granted,0
AT,2012,StG,LS,LS4,evaluated,1
AT,2012,StG,LS,LS4,granted,0
AT,2012,StG,LS,LS5,evaluated,4
AT,2012,StG,LS,LS5,granted,1
AT,2012,StG,LS,LS6,evaluated,2
AT,2012,StG,LS,LS6,granted,1
AT,2012,StG,LS,LS7,evaluated,1
AT,2012,StG,LS,LS7,granted,0
AT,2012,StG,LS,LS8,evaluated,2
AT,2012,StG,LS,LS8,granted,0
AT,2012,StG,LS,LS9,evaluated,4
AT,2012,StG,LS,LS9,granted,1
AT,2012,StG,PE,PE1,evaluated,6
AT,2012,StG,PE,PE1,granted,1
AT,2012,StG,PE,PE10,evaluated,1
AT,2012,StG,PE,PE10,granted,0
AT,2012,StG,PE,PE2,evaluated,12
AT,2012,StG,PE,PE2,granted,0
AT,2012,StG,PE,PE3,evaluated,8
AT,2012,StG,PE,PE3,granted,2
AT,2012,StG,PE,PE4,evaluated,8
AT,2012,StG,PE,PE4,granted,0
AT,2012,StG,PE,PE6,evaluated,11
AT,2012,StG,PE,PE6,granted,1
AT,2012,StG,PE,PE8,evaluated,2
AT,2012,StG,PE,PE8,granted,1
AT,2012,StG,SH,SH1,evaluated,3
AT,2012,StG,SH,SH1,granted,0
AT,2012,StG,SH,SH2,evaluated,2
AT,2012,StG,SH,SH2,granted,0
AT,2012,StG,SH,SH3,evaluated,2
AT,2012,StG,SH,SH3,granted,0
AT,2012,StG,SH,SH4,evaluated,5
AT,2012,StG,SH,SH4,granted,1
AT,2012,StG,SH,SH5,evaluated,2
AT,2012,StG,SH,SH5,granted,0
AT,2012,StG,SH,SH6,evaluated,4
AT,2012,StG,SH,SH6,granted,0
AT,2012,AdG,LS,LS1,evaluated,2
AT,2012,AdG,LS,LS1,granted,0
AT,2012,AdG,LS,LS2,evaluated,1
AT,2012,AdG,LS,LS2,granted,0
AT,2012,AdG,LS,LS3,evaluated,1
AT,2012,AdG,LS,LS3,granted,0
AT,2012,AdG,LS,LS4,evaluated,1
AT,2012,AdG,LS,LS4,granted,0
AT,2012,AdG,LS,LS6,evaluated,1
AT,2012,AdG,LS,LS6,granted,0
AT,2012,AdG,LS,LS8,evaluated,1
AT,2012,AdG,LS,LS8,granted,0
AT,2012,AdG,PE,PE1,evaluated,6
AT,2012,AdG,PE,PE1,granted,1
AT,2012,AdG,PE,PE2,evaluated,4
AT,2012,AdG,PE,PE2,granted,2
AT,2012,AdG,PE,PE3,evaluated,2
AT,2012,AdG,PE,PE3,granted,0
AT,2012,AdG,PE,PE4,evaluated,1
AT,2012,AdG,PE,PE4,granted,0
AT,2012,AdG,PE,PE5,evaluated,2
AT,2012,AdG,PE,PE5,granted,0
AT,2012,AdG,PE,PE6,evaluated,2
AT,2012,AdG,PE,PE6,granted,0
AT,2012,AdG,PE,PE7,evaluated,1
AT,2012,AdG,PE,PE7,granted,0
AT,2012,AdG,PE,PE8,evaluated,1
AT,2012,AdG,PE,PE8,granted,0
AT,2012,AdG,PE,PE9,evaluated,2
AT,2012,AdG,PE,PE9,granted,0
AT,2012,AdG,SH,SH2,evaluated,1
AT,2012,AdG,SH,SH2,granted,0
AT,2012,AdG,SH,SH3,evaluated,2
AT,2012,AdG,SH,SH3,granted,1
AT,2012,AdG,SH,SH4,evaluated,4
AT,2012,AdG,SH,SH4,granted,0
AT,2012,AdG,SH,SH5,evaluated,1
AT,2012,AdG,SH,SH5,granted,0
AT,2012,AdG,SH,SH6,evaluated,1
AT,2012,AdG,SH,SH6,granted,0
AT,2012,SyG,NA,NA,evaluated,10
AT,2012,SyG,NA,NA,granted,0
AT,2012,SyG,NA,NA,evaluated,1
AT,2012,SyG,NA,NA,granted,0
AT,2012,PoC,NA,NA,evaluated,2
AT,2012,PoC,NA,NA,granted,2
AT,2013,StG,LS,LS1,evaluated,4
AT,2013,StG,LS,LS1,granted,2
AT,2013,StG,LS,LS2,evaluated,3
AT,2013,StG,LS,LS2,granted,2
AT,2013,StG,LS,LS3,evaluated,4
AT,2013,StG,LS,LS3,granted,1
AT,2013,StG,LS,LS4,evaluated,3
AT,2013,StG,LS,LS4,granted,1
AT,2013,StG,LS,LS5,evaluated,4
AT,2013,StG,LS,LS5,granted,2
AT,2013,StG,LS,LS6,evaluated,2
AT,2013,StG,LS,LS6,granted,0
AT,2013,StG,LS,LS8,evaluated,2
AT,2013,StG,LS,LS8,granted,0
AT,2013,StG,PE,PE1,evaluated,7
AT,2013,StG,PE,PE1,granted,0
AT,2013,StG,PE,PE10,evaluated,1
AT,2013,StG,PE,PE10,granted,0
AT,2013,StG,PE,PE2,evaluated,6
AT,2013,StG,PE,PE2,granted,1
AT,2013,StG,PE,PE3,evaluated,8
AT,2013,StG,PE,PE3,granted,1
AT,2013,StG,PE,PE4,evaluated,6
AT,2013,StG,PE,PE4,granted,2
AT,2013,StG,PE,PE5,evaluated,2
AT,2013,StG,PE,PE5,granted,0
AT,2013,StG,PE,PE6,evaluated,8
AT,2013,StG,PE,PE6,granted,0
AT,2013,StG,PE,PE7,evaluated,3
AT,2013,StG,PE,PE7,granted,0
AT,2013,StG,PE,PE8,evaluated,3
AT,2013,StG,PE,PE8,granted,0
AT,2013,StG,PE,PE9,evaluated,1
AT,2013,StG,PE,PE9,granted,0
AT,2013,StG,SH,SH1,evaluated,1
AT,2013,StG,SH,SH1,granted,0
AT,2013,StG,SH,SH2,evaluated,3
AT,2013,StG,SH,SH2,granted,1
AT,2013,StG,SH,SH3,evaluated,1
AT,2013,StG,SH,SH3,granted,0
AT,2013,StG,SH,SH4,evaluated,1
AT,2013,StG,SH,SH4,granted,0
AT,2013,StG,SH,SH5,evaluated,1
AT,2013,StG,SH,SH5,granted,0
AT,2013,StG,SH,SH6,evaluated,4
AT,2013,StG,SH,SH6,granted,0
AT,2013,CoG,LS,LS1,evaluated,5
AT,2013,CoG,LS,LS1,granted,1
AT,2013,CoG,LS,LS2,evaluated,2
AT,2013,CoG,LS,LS2,granted,0
AT,2013,CoG,LS,LS3,evaluated,1
AT,2013,CoG,LS,LS3,granted,0
AT,2013,CoG,LS,LS5,evaluated,2
AT,2013,CoG,LS,LS5,granted,0
AT,2013,CoG,LS,LS6,evaluated,4
AT,2013,CoG,LS,LS6,granted,0
AT,2013,CoG,LS,LS7,evaluated,4
AT,2013,CoG,LS,LS7,granted,0
AT,2013,CoG,LS,LS8,evaluated,3
AT,2013,CoG,LS,LS8,granted,0
AT,2013,CoG,LS,LS9,evaluated,1
AT,2013,CoG,LS,LS9,granted,0
AT,2013,CoG,PE,PE1,evaluated,8
AT,2013,CoG,PE,PE1,granted,0
AT,2013,CoG,PE,PE10,evaluated,3
AT,2013,CoG,PE,PE10,granted,1
AT,2013,CoG,PE,PE2,evaluated,7
AT,2013,CoG,PE,PE2,granted,1
AT,2013,CoG,PE,PE3,evaluated,6
AT,2013,CoG,PE,PE3,granted,0
AT,2013,CoG,PE,PE4,evaluated,5
AT,2013,CoG,PE,PE4,granted,0
AT,2013,CoG,PE,PE5,evaluated,1
AT,2013,CoG,PE,PE5,granted,0
AT,2013,CoG,PE,PE6,evaluated,6
AT,2013,CoG,PE,PE6,granted,1
AT,2013,CoG,PE,PE7,evaluated,1
AT,2013,CoG,PE,PE7,granted,0
AT,2013,CoG,PE,PE8,evaluated,2
AT,2013,CoG,PE,PE8,granted,0
AT,2013,CoG,PE,PE9,evaluated,2
AT,2013,CoG,PE,PE9,granted,0
AT,2013,CoG,SH,SH1,evaluated,2
AT,2013,CoG,SH,SH1,granted,0
AT,2013,CoG,SH,SH2,evaluated,6
AT,2013,CoG,SH,SH2,granted,0
AT,2013,CoG,SH,SH3,evaluated,2
AT,2013,CoG,SH,SH3,granted,1
AT,2013,CoG,SH,SH4,evaluated,3
AT,2013,CoG,SH,SH4,granted,0
AT,2013,CoG,SH,SH5,evaluated,2
AT,2013,CoG,SH,SH5,granted,0
AT,2013,CoG,SH,SH6,evaluated,5
AT,2013,CoG,SH,SH6,granted,0
AT,2013,AdG,LS,LS3,evaluated,1
AT,2013,AdG,LS,LS3,granted,0
AT,2013,AdG,LS,LS4,evaluated,5
AT,2013,AdG,LS,LS4,granted,2
AT,2013,AdG,LS,LS7,evaluated,1
AT,2013,AdG,LS,LS7,granted,0
AT,2013,AdG,LS,LS8,evaluated,1
AT,2013,AdG,LS,LS8,granted,0
AT,2013,AdG,PE,PE1,evaluated,5
AT,2013,AdG,PE,PE1,granted,1
AT,2013,AdG,PE,PE10,evaluated,1
AT,2013,AdG,PE,PE10,granted,0
AT,2013,AdG,PE,PE2,evaluated,3
AT,2013,AdG,PE,PE2,granted,0
AT,2013,AdG,PE,PE3,evaluated,3
AT,2013,AdG,PE,PE3,granted,0
AT,2013,AdG,PE,PE4,evaluated,3
AT,2013,AdG,PE,PE4,granted,0
AT,2013,AdG,PE,PE5,evaluated,1
AT,2013,AdG,PE,PE5,granted,0
AT,2013,AdG,PE,PE6,evaluated,5
AT,2013,AdG,PE,PE6,granted,1
AT,2013,AdG,PE,PE8,evaluated,1
AT,2013,AdG,PE,PE8,granted,2
AT,2013,AdG,PE,PE9,evaluated,1
AT,2013,AdG,PE,PE9,granted,0
AT,2013,AdG,SH,SH2,evaluated,2
AT,2013,AdG,SH,SH2,granted,0
AT,2013,AdG,SH,SH3,evaluated,2
AT,2013,AdG,SH,SH3,granted,0
AT,2013,AdG,SH,SH4,evaluated,4
AT,2013,AdG,SH,SH4,granted,1
AT,2013,AdG,SH,SH5,evaluated,2
AT,2013,AdG,SH,SH5,granted,0
AT,2013,AdG,SH,SH6,evaluated,1
AT,2013,AdG,SH,SH6,granted,0
AT,2013,SyG,NA,NA,evaluated,7
AT,2013,SyG,NA,NA,granted,0
AT,2013,PoC,NA,NA,evaluated,4
AT,2013,PoC,NA,NA,granted,1
AT,2014,StG,LS,LS1,evaluated,4
AT,2014,StG,LS,LS1,granted,0
AT,2014,StG,LS,LS2,evaluated,1
AT,2014,StG,LS,LS2,granted,0
AT,2014,StG,LS,LS3,evaluated,3
AT,2014,StG,LS,LS3,granted,2
AT,2014,StG,LS,LS4,evaluated,1
AT,2014,StG,LS,LS4,granted,1
AT,2014,StG,LS,LS5,evaluated,6
AT,2014,StG,LS,LS5,granted,0
AT,2014,StG,LS,LS6,evaluated,1
AT,2014,StG,LS,LS6,granted,0
AT,2014,StG,LS,LS7,evaluated,5
AT,2014,StG,LS,LS7,granted,2
AT,2014,StG,LS,LS8,evaluated,5
AT,2014,StG,LS,LS8,granted,1
AT,2014,StG,LS,LS9,evaluated,1
AT,2014,StG,LS,LS9,granted,0
AT,2014,StG,PE,PE1,evaluated,8
AT,2014,StG,PE,PE1,granted,0
AT,2014,StG,PE,PE10,evaluated,1
AT,2014,StG,PE,PE10,granted,1
AT,2014,StG,PE,PE2,evaluated,6
AT,2014,StG,PE,PE2,granted,0
AT,2014,StG,PE,PE3,evaluated,6
AT,2014,StG,PE,PE3,granted,0
AT,2014,StG,PE,PE4,evaluated,5
AT,2014,StG,PE,PE4,granted,1
AT,2014,StG,PE,PE5,evaluated,4
AT,2014,StG,PE,PE5,granted,0
AT,2014,StG,PE,PE6,evaluated,11
AT,2014,StG,PE,PE6,granted,3
AT,2014,StG,PE,PE7,evaluated,1
AT,2014,StG,PE,PE7,granted,0
AT,2014,StG,PE,PE8,evaluated,3
AT,2014,StG,PE,PE8,granted,0
AT,2014,StG,PE,PE9,evaluated,2
AT,2014,StG,PE,PE9,granted,0
AT,2014,StG,SH,SH2,evaluated,1
AT,2014,StG,SH,SH2,granted,0
AT,2014,StG,SH,SH3,evaluated,3
AT,2014,StG,SH,SH3,granted,1
AT,2014,StG,SH,SH4,evaluated,2
AT,2014,StG,SH,SH4,granted,1
AT,2014,StG,SH,SH5,evaluated,2
AT,2014,StG,SH,SH5,granted,0
AT,2014,StG,SH,SH6,evaluated,5
AT,2014,StG,SH,SH6,granted,1
AT,2014,CoG,LS,LS1,evaluated,2
AT,2014,CoG,LS,LS1,granted,0
AT,2014,CoG,LS,LS2,evaluated,1
AT,2014,CoG,LS,LS2,granted,1
AT,2014,CoG,LS,LS3,evaluated,3
AT,2014,CoG,LS,LS3,granted,2
AT,2014,CoG,LS,LS5,evaluated,2
AT,2014,CoG,LS,LS5,granted,0
AT,2014,CoG,LS,LS6,evaluated,2
AT,2014,CoG,LS,LS6,granted,0
AT,2014,CoG,LS,LS7,evaluated,3
AT,2014,CoG,LS,LS7,granted,0
AT,2014,CoG,LS,LS8,evaluated,2
AT,2014,CoG,LS,LS8,granted,0
AT,2014,CoG,PE,PE1,evaluated,8
AT,2014,CoG,PE,PE1,granted,0
AT,2014,CoG,PE,PE2,evaluated,5
AT,2014,CoG,PE,PE2,granted,1
AT,2014,CoG,PE,PE3,evaluated,2
AT,2014,CoG,PE,PE3,granted,1
AT,2014,CoG,PE,PE4,evaluated,2
AT,2014,CoG,PE,PE4,granted,0
AT,2014,CoG,PE,PE5,evaluated,2
AT,2014,CoG,PE,PE5,granted,0
AT,2014,CoG,PE,PE6,evaluated,1
AT,2014,CoG,PE,PE6,granted,0
AT,2014,CoG,PE,PE7,evaluated,4
AT,2014,CoG,PE,PE7,granted,0
AT,2014,CoG,PE,PE8,evaluated,2
